company,ticker
Lucid Motors,
Foursquare,
Guild,GB00BMWVF760.SG
Cue Health,HLTHQ
Silo,SILO
Joonko,
Toshiba,6588.T
Wefox,
Replit,
Gopuff,
SeekOut,
Atmosphere,
Singularity 6,
Mainvest,
Indeed,
Motional,
Rivian,RIVN
Google,GOOGL
Vacasa,
PrepLadder,
Simpl,SMPL
Arkane Studios,
Brilliant,BRILL.ST
Kinaxis,KXS.TO
Hopin,
Enovix,ENVX
Luminar,9FS.DU
Sprinklr,CXM
Bakkt,BKKT
Peloton,PTON
Cabify,
Assurance,RCU.SI
Sproutt,
Tesla,TSLA
Akili Interactive,
Getir,
Ola,OLAELEC.NS
ComplYant,
Fisker,
HealthifyMe,
True Anomaly,
Grin,GRND
Expedia,EXPE
Freenome,FRNM
Heureka Group,
98point6,
OutSystems,
Homie,
The Good Glamm Group,
Showpad,
Stability AI,
Pax8,
ConnectWise,
Take-Two,TTWO
Tome,TOEN.TA
Criteo,CRTO
Glovo,
TikTok,
Fabric,605003.SS
Hinge Health,
Zoe,ZTS
Cornershop,
Scaler,
Checkr,
Intel,INTC
Trendsales,
Fission,FISN
Bolt.Earth,
Apple,AAPL
Agility Robotics,
Lightspeed Commerce,LSPD.TO
Ghost Autonomy,
Vivian Health,
Amazon,AMZN
CoRover,
Kaseya,
New Relic,
Yummly,
Byju's,
Lentra,
Thepeer,
Osso VR,
Identiq,
Ranger Insurance,
Rezi,REZI
ChowNow,
Synctera,
GoPro,GPRO
Dell,DELL
Verily,
Cybereason,
ShopBack,
Orbotech,
Airmeet,
Singular Genomics,
Longi,601012.SS
Flock Freight,
Chipper Cash,
Blueboard,
Ancestry,
Textio,
Stash,
Phantom Auto,
IBM,IBM
Deadspin,
Niche,8490.HK
Inscribe,
Turnitin,
Totango,
Sorare,
Meta,META
PlanetScale,
MessageBird,
Form Energy,
Verbit,
Edgio,
Melio,
Our Next Energy,
Project Ronin,
Pristyn Care,
Gro Intelligence,
Tonik,
Kevin,
Electronic Arts,ERT.MU
Treasury Prime,
Sony Interactive,
Bumble,BMBL
PropertyGuru,
WayCool,
Daraz,
Redesign Health,
Carbon Health,
Vice Media,
Affirm,AFRM
Finder,DFH
BuzzFeed,BZFDW
Aptiv,APTV
Tails.com,
Auctane,
KnownOrigin,
Meati,
Farfetch,FTCHQ
Voi,2495.HK
Toast,TOST
Sonder,SONDQ
Storytel,STORY-B.ST
CodeSee,
May Mobility,
Cisco,CSCO
Wint Wealth,
Away,AWCA
Instacart,
Mozilla,
Impinj,PI
Riskified,RSKD
Everybuddy,
Popcore,
Wisense,
SiriusXM,SIRI
Licious,
BlissClub,
Kandji,
Pure Storage,6PU.DU
Otovo,89K0.F
Getaround,GETR
Journera,
Grammarly,
Fireblocks,
Tenable,TENB
Workfellow,
DocuSign,DOCU
Glowforge,
Snap,SNAP
Drizly,
BillGO,
Impact.com,
Astrate Medical,
Meetup,
Muvin,
Nomad Health,
Zwift,
Top Hat,
Cake Bikes,
Small Robot Company,
Twig,
Okta,OKTA
Zoom,ZM
Illumina,ILMN
Polygon,POLY.TA
Indigo,INAC
Proofpoint,
Trove Recommerce,
CircleCI,
Thinx,
Innoviz,INVZ
The Messenger,
Zuora,
PayPal,PYPL
Block,HRB
Kiwi.com,
Aurora Solar,AACTF
Wattpad,
TechCrunch,
Noom,
Procore,5PT.F
Vipps,
iRobot,
DispatchHealth,
Loopio,
Salesforce,CRM
Flexport,
Productboard,
Microsoft,MSFT
Swiggy,SWIGGY.NS
Veho,
Amperity,
MVPindex,
Business Insider,
Cova,CVALF
Jamf,
Cult.fit,
Personio,
Aurora,ACB
Desktop Metal,
HubSpot,HUBS
SAP,SAP
eBay,EBAY
Vroom,VRM
Brex,
Cure.fit,
GoStudent,
GoTo,GOTO.JK
Seedr,
Riot Games,
Xendit,
2U,2UH0.F
SolarEdge,SEDG
Wayfair,W
Fashinza,
Stitch Fix,SFIX
YouTube,
Sirplus,
SonderMind,
First Mode,
ALI Technologies,
Thursday,
Veeam,
GrabCAD,
Artifact,
Dastgyr,
Hologram,WIMI
Vendr,
New Work SE,
Playtika,8II.F
Discord,
Inmobi,PEI.CL
Audible,
7Shifts,
Sisense,
Cloudflare,NET
888,C8V.DU
Certinia,
Chief,1597.TW
Dextrous Robotics,
Citrix,
IAC,343A.T
FreshDirect,
Beam Benefits,
Instagram,
ChargePoint,CHPT
SoFi,SOFI
Twitch,
Branch,BOF
Nevro,
FullStory,
Uber Freight,
Rent the Runway,RENT
Treasure Financial,
Humane,
EVBox,
Morning Consult,
Trend Micro,4704.T
Unity,U
Flipkart,
NuScale Power,SMR
Flexe,
Pitch,
BenchSci,
Here,HERE
Ledger Investing,
Lendio,
MeridianLink,
LiveVox,
NanoString Technologies,
Lever,DSPC
Trigo,3709.TWO
InVision,
VideoAmp,
Xerox,XRX
Lazada Group,
Orca Security,
Frontdesk,
Strake,SRKE
Paytm,PAYTM.NS
Hyperloop One,
Palmetto Clean Technology,
ShareChat,
InSightec,
Kaspien,
Enphase Energy,ENPH
Udaan,
Checkout.com,
Arm Holdings,ARM
Delivery Hero,DHER.DE
Jellysmack,
Superpedestrian,
Cruise,NCLH
Solarisbank,
Bolt,BOLT
Curalie,
Curbio,
Flyhomes,
Stellar Pizza,
Invitae,
Etsy,ETSY
Analog Devices,ADI
ForgeRock,
Flex,FLEX
FourKites,
Sojern,
TomTom,TOM2.AS
Jungle Scout,
SmileDirectClub,SDCCQ
Sunfolding,
Zulily,
D2iQ,
Simplilearn,
Navan,NAVN
Tidal,YRAM
ZestMoney,
Incredibuild,
Bill.com,0M5.HA
Contentful,
Course Hero,
Pivo,93P0.F
Yahoo,YOJ.SG
Spotify,SPOT
TuSimple,
Meow Wolf,
DwellWell,
Twilio,TWLO
Filmic,
Loco,LOCO
Zepz,
Domo,DOMO
Mojo,MOJO
Pipedrive,
Vox Media,
Dataminr,
Multiverse,
Tier Mobility,
VMware,
Bytedance,
Veev,VEEV
Anar,
Alerzo,
McMakler,
Tulip Retail,
Jodo,
C3.ai,AI
Presto,PRST
Physics Wallah,
NextGen Healthcare,
Buildertrend,
Jane,HOJI
Zazuu,
Sierra Space,
Paystack,
Beamery,
Sonos,SONO
FintechOS,
FreshBooks,
Landing,
Uleet,
Chewy,CHWY
Sarcos,
Cake Group,
Halodoc,
Markforged,
Ping Identity,
TripAdvisor,TRIP
Bowery Farming,
Carta,9L2.SG
Commure,
OSlash,
BigCommerce,BI1.DU
CloudKitchens,
Oportun,OPRT
Zillow,Z
Nextdoor,NXDR
Zeus Living,
Ava Labs,
Moore Threads,688795.SS
Pico Interactive,
F5,FFIV
NIO,NIO
OpenSea,
Viasat,VSAT
Beyond Meat,BYND
OpenSpace,
Orchard,O5P.F
Sportradar,SRAD
Informatica,
Splunk,
Faire,
Sana Benefits,
Olive,36S.F
StepStone,STEP
Hubilo,
Karat Financial,
Hippo Insurance,
Graphy,318060.KQ
Salsify,
F-Secure,
Virgio,
Exabeam,
Slync,
