company,snapshot_date,news_count,negative_news_ratio,positive_news_ratio,neutral_news_ratio,avg_sentiment,layoff_keyword_count,restructuring_keyword_count,cost_cutting_keyword_count,hiring_freeze_keyword_count
#Paid,2023-01-20,1,1.0,0.0,0.0,-0.9685251116752625,24,0,0,1
&Open,2022-11-10,1,0.0,0.0,1.0,0.0,1,0,0,0
100 Thieves,2022-07-06,1,0.0,0.0,1.0,0.0,10,0,0,0
100 Thieves,2023-01-03,1,0.0,0.0,1.0,0.0,10,0,0,0
1K Kirana,2023-03-28,1,0.0,0.0,1.0,0.0,11,4,0,0
2TM,2022-05-25,1,0.0,0.0,1.0,0.0,0,0,0,0
2TM,2022-08-25,1,0.0,0.0,1.0,0.0,6,0,0,0
2U,2022-07-21,1,0.0,0.0,1.0,0.0,0,1,1,0
54gene,2022-08-22,1,0.0,0.0,1.0,0.0,5,0,1,0
6sense,2022-10-05,1,0.0,0.0,1.0,0.0,11,1,1,0
99,2022-09-13,1,0.0,0.0,1.0,0.0,2,0,0,0
AU10TIX,2023-01-24,1,1.0,0.0,0.0,-0.5279685258865356,4,0,0,0
Absolute Software,2023-03-30,1,0.0,0.0,1.0,0.0,0,7,0,0
Acko,2020-03-25,1,1.0,0.0,0.0,-0.9533126354217529,6,0,2,0
Acorns,2020-05-19,1,1.0,0.0,0.0,-0.9357079863548279,8,0,0,0
Actyv.ai,2023-07-26,1,1.0,0.0,0.0,-0.9108009338378906,5,0,0,0
AdRoll,2020-03-24,1,1.0,0.0,0.0,-0.9125061631202698,3,0,0,0
Ada,2022-09-13,1,0.0,0.0,1.0,0.0,0,0,0,0
Ada,2023-01-25,1,1.0,0.0,0.0,-0.916167676448822,19,1,0,0
Ada Support,2020-04-17,1,1.0,0.0,0.0,-0.9684602618217468,7,0,1,0
Adara,2020-03-24,1,0.0,0.0,1.0,0.0,0,0,0,0
Addepar,2023-01-11,1,1.0,0.0,0.0,-0.955524206161499,5,0,0,0
Addi,2022-06-07,1,0.0,0.0,1.0,0.0,14,0,1,0
Afterverse,2022-05-27,1,0.0,0.0,1.0,0.0,1,0,0,0
