feature,importance
industry_layoffs_30d,0.07030538
industry_layoffs_90d,0.03031159
industry_Infrastructure,0.02945336
industry_Real Estate,0.029198265
industry_Data,0.027377773
company_previous_layoffs,0.026840985
industry_Travel,0.026775254
industry_Logistics,0.026728526
industry_Product,0.026134955
industry_Education,0.023695273
sentiment_age_days,0.023490362
days_since_last_layoff,0.023301143
industry_Finance,0.023299746
industry_Marketing,0.02306555
company_previous_laid_off,0.022916097
industry_Retail,0.022739662
industry_Crypto,0.020900378
industry_Other,0.020644141
sentiment_available,0.02059094
industry_Recruiting,0.01967994
industry_layoffs_365d,0.019607242
industry_Manufacturing,0.019230912
industry_Healthcare,0.019025529
negative_news_ratio,0.018904705
industry_Food,0.018103974
return_90d,0.017727444
industry_Security,0.01771745
volatility_90d,0.017516855
industry_Fitness,0.01653541
industry_Transportation,0.016383987
industry_HR,0.016077327
industry_Aerospace,0.01553301
industry_Support,0.015161981
company_layoffs_365d,0.015095268
industry_Consumer,0.015071868
drawdown_90d,0.014653824
industry_Sales,0.014516802
industry_Media,0.014181459
return_30d,0.0141090555
volatility_30d,0.013735481
industry_Construction,0.013662958
drawdown_30d,0.012321998
avg_sentiment,0.012230497
company_layoffs_30d,0.0118525475
company_layoffs_90d,0.011170481
volume_change_30d,0.010504588
restructuring_keyword_count,0.010201629
industry_Energy,0.010165948
layoff_keyword_count,0.00954428
industry_Legal,0.008997445
cost_cutting_keyword_count,0.0086381445
industry_Hardware,0.007674953
neutral_news_ratio,0.006695613
company_sentiment,0.0
news_count,0.0
hiring_freeze_keyword_count,0.0
positive_news_ratio,0.0
industry_AI,0.0
industry_Unknown,0.0
